PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35606622","Life style and Parkinson's disease","Reichmann H, Csoti I, Koschel J, Lorenzl S, Schrader C, Winkler J, Wüllner U.","J Neural Transm (Vienna). 2022 Sep;129(9):1235-1245. doi: 10.1007/s00702-022-02509-1. Epub 2022 May 23.","Reichmann H","J Neural Transm (Vienna)","2022","2022/05/23","PMC9463300","","10.1007/s00702-022-02509-1"
"40338549","Proximity to Golf Courses and Risk of Parkinson Disease","Krzyzanowski B, Mullan AF, Dorsey ER, Chirag SS, Turcano P, Camerucci E, Bower JH, Savica R.","JAMA Netw Open. 2025 May 1;8(5):e259198. doi: 10.1001/jamanetworkopen.2025.9198.","Krzyzanowski B","JAMA Netw Open","2025","2025/05/08","PMC12062912","","10.1001/jamanetworkopen.2025.9198"
"41032741","Trichloroethylene and Parkinson Disease","Dorsey ER, Tanner CM.","Neurology. 2025 Oct 21;105(8):e214245. doi: 10.1212/WNL.0000000000214245. Epub 2025 Oct 1.","Dorsey ER","Neurology","2025","2025/10/01","","","10.1212/WNL.0000000000214245"
"38115046","Untargeted serum metabolomics reveals novel metabolite associations and disruptions in amino acid and lipid metabolism in Parkinson's disease","Paul KC, Zhang K, Walker DI, Sinsheimer J, Yu Y, Kusters C, Del Rosario I, Folle AD, Keener AM, Bronstein J, Jones DP, Ritz B.","Mol Neurodegener. 2023 Dec 19;18(1):100. doi: 10.1186/s13024-023-00694-5.","Paul KC","Mol Neurodegener","2023","2023/12/20","PMC10731845","","10.1186/s13024-023-00694-5"
"39283636","Air Pollution and Parkinson Disease in a Population-Based Study","Krzyzanowski B, Mullan AF, Turcano P, Camerucci E, Bower JH, Savica R.","JAMA Netw Open. 2024 Sep 3;7(9):e2433602. doi: 10.1001/jamanetworkopen.2024.33602.","Krzyzanowski B","JAMA Netw Open","2024","2024/09/16","PMC11406396","","10.1001/jamanetworkopen.2024.33602"
"38457975","Causal association between long-term exposure to air pollution and incident Parkinson's disease","Ai B, Zhang J, Zhang S, Chen G, Tian F, Chen L, Li H, Guo Y, Jerath A, Lin H, Zhang Z.","J Hazard Mater. 2024 May 5;469:133944. doi: 10.1016/j.jhazmat.2024.133944. Epub 2024 Mar 2.","Ai B","J Hazard Mater","2024","2024/03/08","","","10.1016/j.jhazmat.2024.133944"
"38685425","Literature review and meta-analysis of environmental toxins associated with increased risk of Parkinson's disease","Aravindan A, Newell ME, Halden RU.","Sci Total Environ. 2024 Jun 25;931:172838. doi: 10.1016/j.scitotenv.2024.172838. Epub 2024 Apr 27.","Aravindan A","Sci Total Environ","2024","2024/04/30","","","10.1016/j.scitotenv.2024.172838"
"36717481","SARS-COV-2 infection and Parkinson's disease: Possible links and perspectives","Al-Kuraishy HM, Al-Gareeb AI, Kaushik A, Kujawska M, Ahmed EA, Batiha GE.","J Neurosci Res. 2023 Jun;101(6):952-975. doi: 10.1002/jnr.25171. Epub 2023 Jan 30.","Al-Kuraishy HM","J Neurosci Res","2023","2023/01/30","","","10.1002/jnr.25171"
"37744289","Mercury and Parkinson's Disease: Promising Leads, but Research Is Needed","Torrey EF, Simmons W.","Parkinsons Dis. 2023 Sep 16;2023:4709322. doi: 10.1155/2023/4709322. eCollection 2023.","Torrey EF","Parkinsons Dis","2023","2023/09/25","PMC10517869","","10.1155/2023/4709322"
"31894453","Effect of long-term particulate matter exposure on Parkinson's risk","Wang Y, Liu Y, Yan H.","Environ Geochem Health. 2020 Jul;42(7):2265-2275. doi: 10.1007/s10653-019-00484-3. Epub 2020 Jan 1.","Wang Y","Environ Geochem Health","2020","2020/01/03","","","10.1007/s10653-019-00484-3"
"40614023","Trichloroethylene Exposure and Parkinson's Disease: Environmental Risk, Metabolic Pathways, and Mechanistic Insights","Liu R, Zhang F, Lou J, Song F.","Mol Neurobiol. 2025 Dec;62(12):15336-15348. doi: 10.1007/s12035-025-05172-1. Epub 2025 Jul 4.","Liu R","Mol Neurobiol","2025","2025/07/04","","","10.1007/s12035-025-05172-1"
"39701424","Smoking, coffee intake, and Parkinson's disease: Potential protective mechanisms and components","Hong SW, Page R, Truman P.","Neurotoxicology. 2025 Jan;106:48-63. doi: 10.1016/j.neuro.2024.12.003. Epub 2024 Dec 17.","Hong SW","Neurotoxicology","2025","2024/12/19","","","10.1016/j.neuro.2024.12.003"
"36607363","Striatal Dopaminergic Loss and Dysphagia in Parkinson Disease","Kim JH, Jeon J, Lee Y, Kim SM, Cheon M, Kim JY.","Clin Nucl Med. 2023 Feb 1;48(2):143-149. doi: 10.1097/RLU.0000000000004501. Epub 2022 Dec 7.","Kim JH","Clin Nucl Med","2023","2023/01/06","PMC9835674","","10.1097/RLU.0000000000004501"
"37924067","Different types of screen time, physical activity, and incident dementia, Parkinson's disease, depression and multimorbidity status","Wu H, Gu Y, Du W, Meng G, Wu H, Zhang S, Wang X, Zhang J, Wang Y, Huang T, Niu K.","Int J Behav Nutr Phys Act. 2023 Nov 3;20(1):130. doi: 10.1186/s12966-023-01531-0.","Wu H","Int J Behav Nutr Phys Act","2023","2023/11/04","PMC10625186","","10.1186/s12966-023-01531-0"
"36232110","Association between Backward Walking and Cognition in Parkinson Disease: A Systematic Review","Correno MB, Hansen C, Chardon M, Milane T, Bianchini E, Vuillerme N.","Int J Environ Res Public Health. 2022 Oct 6;19(19):12810. doi: 10.3390/ijerph191912810.","Correno MB","Int J Environ Res Public Health","2022","2022/10/14","PMC9566137","","10.3390/ijerph191912810"
"35723116","Infections and Changes in Commensal Bacteria and the Pathogenesis of Parkinson's Disease","Shannon KM.","J Parkinsons Dis. 2022;12(s1):S45-S51. doi: 10.3233/JPD-223271.","Shannon KM","J Parkinsons Dis","2022","2022/06/20","PMC9535579","","10.3233/JPD-223271"
"40527812","Interrelationship between PQ exposure and Parkinson disease: A systematic review and meta-analysis","Ba RQ, Fan XJ, Fan HJ, Du K, Ma X, Wen Y, Liu MW.","Medicine (Baltimore). 2025 Jun 13;104(24):e42796. doi: 10.1097/MD.0000000000042796.","Ba RQ","Medicine (Baltimore)","2025","2025/06/17","PMC12173288","","10.1097/MD.0000000000042796"
"41377218","Gut-brain axis and Parkinson's disease: navigating the microbial enigma","Jaffer MS, Sohail S, Ahmed N, Ashraf A, Shenawa E.","Ann Med Surg (Lond). 2025 Oct 17;87(12):9109-9110. doi: 10.1097/MS9.0000000000004132. eCollection 2025 Dec.","Jaffer MS","Ann Med Surg (Lond)","2025","2025/12/11","PMC12689100","","10.1097/MS9.0000000000004132"
"39685702","Alpha-Synuclein and Microglia in Parkinson's Disease: From Pathogenesis to Therapeutic Prospects","Eo H, Kim S, Jung UJ, Kim SR.","J Clin Med. 2024 Nov 28;13(23):7243. doi: 10.3390/jcm13237243.","Eo H","J Clin Med","2024","2024/12/17","PMC11642439","","10.3390/jcm13237243"
"41586427","Gut-Brain Axis: The Role of Gastrointestinal Issues in Parkinson's Disease","Armas C, Kaufman P.","Integr Med (Encinitas). 2025 Dec;24(6):20-27.","Armas C","Integr Med (Encinitas)","2025","2026/01/26","PMC12825857","",""
