title,abstract,doi,pubmed_id,keywords,authors,journal,publication_date,file,notes,source
Machine Learning Models for Predicting Parkinson’s Disease Progression Using Longitudinal Data: A Systematic Review,"This systematic review aims to evaluate the effectiveness of various machine learning models in predicting PD progression using longitudinal data. Despite the increasing use of ML in PD research, gaps remain in understanding the impact of longitudinal data on prediction accuracy and model generalizability. This study aims to bridge this gap by examining how multimodal data sources, including clinical, genetic, and imaging datasets, contribute to improved predictive performance. The review focuses on the types of models used, data sources, performance metrics, and their potential to improve personalized treatment and clinical decision-making. A comprehensive literature search was conducted across Scopus, PubMed, Google Scholar, and ResearchGate to identify relevant studies published from January 2010 to February 2024. The inclusion criteria focused on studies employing ML techniques for analyzing longitudinal PD data, yielding 14 eligible studies. Data were extracted on ML models used, dataset characteristics, performance metrics, and the integration of multimodal data sources such as clinical, genetic, and imaging data. The findings were synthesized to assess model performance and generalizability. Long Short-Term Memory (LSTM) and ensemble methods like Random Forest and Light Gradient Boosting Machine (LGBM) are effective in capturing disease progression with high accuracy and robust performance metrics. LSTM models achieved accuracies up to 90% and AUC scores of 93.79%, while LGBM models achieved 90.73% and AUC of 94.57%. The Matthews Correlation Coefficient (MCC) scores in longitudinal studies increased over time, and Mean Absolute Error (MAE) also improved. Integrating multimodal data, including clinical, genetic, and imaging information, further improved model reliability and generalizability. ML models, particularly those incorporating longitudinal and multimodal data, show promise in predicting PD progression. Future research should prioritize dataset diversity, enhance model interpretability, and leverage real-world wearable data for improved clinical applicability.",10.9734/ajrcos/2025/v18i3593,,,"Adeniyi, Oluwabamise J.; Ayankoya, Folasade Y.; Kuyoro, Shade O.; Akwaronwu, Bright G.; Abiodun, Ayodeji G.",Asian Journal of Research in Computer Science,21-02-25,Adeniyi et al. - 2025 - Machine Learning Models for Predicting Parkinson’s Disease Progression Using Longitudinal Data A Sy.pdf,,crossref_doi
Variations in the patterns of prevalence and therapy in Australasian Parkinson’s disease patients of different ethnicities,"Parkinson’s disease (PD) is the second most common neurodegenerative disease in the elderly after Alzheimer’s disease. It is expected that PD cumulative incidence will increase in the future, as there are far more people surviving into late age than there ever used to be. While most commonly idiopathic, rare forms of PD can be familial/genetic. In addition, socioeconomic, cultural and genetic factors may influence the way in which anti-parkinsonian medications are prescribed, and how patients respond to them. This review aims to highlight the potential impact of genetic variation on the epidemiology and therapeutics of PD, focusing on data from New Zealand and Australia.",10.1136/bmjno-2019-000033,,,"Alamri, Yassar; Pitcher, Toni; Anderson, Tim J",BMJ Neurology Open,2020-3,Alamri et al. - 2020 - Variations in the patterns of prevalence and therapy in Australasian Parkinson’s disease patients of.pdf,,crossref_doi
Literature review and meta-analysis of environmental toxins associated with increased risk of Parkinson's disease,"Parkinson's disease (PD) is a neurodegenerative disorder and leading cause of death worldwide, whose pathogenesis has been linked to toxic environmental exposures. We used the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines (i) to compile, and group by exposure setting (non-specified general; residential; occupational), environmental factors reported to modulate the risk of developing PD and (ii) to map and geospatially analyze global regions of both research activity and paucity. Among the broader environmental settings, occupational exposures had the highest average odds ratio value at 3.82, followed by general (non-specified or mixed) exposures at 3.07, and residential exposures at 2.36. Occupational exposure to industrial toxins was the highest ranked subset of exposures with an odds ratio of 10.74. Among the studies meeting the inclusion criteria, 75 % were conducted in Europe or the Western United States. The number of individuals partaking per study ranged from a high of 55,585 (Taiwan) to a low of 233 (Faroe Islands), with a mean of n = 14,462. The top three environmental factors associated with high odds ratios for increased risk of developing PD were (i) exposure to dyes (25.33), (ii) methylene chloride (16.5) and specifically in adult men (iii) consumption of fatty whale meat (10.57), which is known to harbor a broad spectrum of so called persistent, bioaccumulative, toxic (PBT) pollutants. Geospatially, the highest odds ratio values were identified in European countries, whereas notable data gaps were revealed for South America, Australia, Africa, and the majority of Asia with the exception of Taiwan. Whereas occupational exposures to industrial chemicals, such as harmful dyes and methylene chloride, ranked highest in risk values, available data suggest notable opportunities for reducing PD cases globally by limiting harmful environmental exposures to a spectrum of toxic chemicals, particularly via the food intake route. Thus, current efforts in improving environmental quality globally by limiting toxic emission may deliver the added benefit of helping to reign in PD. Agents of concern in this respect include pesticides (e.g., paraquat, demeton, monocrotophos), particulate matter associated with air pollution, and a spectrum of organic and inorganic neurotoxins including heavy metals.",10.1016/j.scitotenv.2024.172838,,,"Aravindan, Anumitha; Newell, Melanie Engstrom; Halden, Rolf U.",Science of The Total Environment,2024-6,Aravindan et al. - 2024 - Literature review and meta-analysis of environmental toxins associated with increased risk of Parkin.pdf,,crossref_doi
The epidemiology of Parkinson's disease,"The epidemiology of Parkinson's disease shows marked variations in time, geography, ethnicity, age, and sex. Internationally, prevalence has increased over and above demographic changes. There are several potential reasons for this increase, including the decline in other competing causes of death. Whether incidence is increasing, especially in women or in many low-income and middle-income countries where there is a shortage of high-quality data, is less certain. Parkinson's disease is more common in older people and men, and a variety of environmental factors have been suggested to explain why, including exposure to neurotoxic agents. Within countries, there appear to be ethnic differences in disease risk, although these differences might reflect differential access to health care. The cause of Parkinson's disease is multifactorial, and involves genetic and environmental factors. Both risk factors (eg, pesticides) and protective factors (eg, physical activity and tendency to smoke) have been postulated to have a role in Parkinson's disease, although elucidating causality is complicated by the long prodromal period. Following the establishment of public health strategies to prevent cardiovascular diseases and some cancers, chronic neurodegenerative diseases such as Parkinson's disease and dementia are gaining a deserved higher priority. Multipronged prevention strategies are required that tackle population-based primary prevention, high-risk targeted secondary prevention, and Parkinson's disease-modifying therapies for tertiary prevention. Future international collaborations will be required to triangulate evidence from basic, applied, and epidemiological research, thereby enhancing the understanding and prevention of Parkinson's disease at a global level.",10.1016/s0140-6736(23)01419-8,,,"Ben-Shlomo, Yoav; Darweesh, Sirwan; Llibre-Guerra, Jorge; Marras, Connie; San Luciano, Marta; Tanner, Caroline",The Lancet,2024-1,Ben-Shlomo et al. - 2024 - The epidemiology of Parkinson's disease.pdf,,crossref_doi
Hierarchical Bayesian modeling of spatio-temporal area-interaction processes,"To model spatial point patterns with discrete time stamps a flexible spatio-temporal area-interaction point process is proposed. In particular, this model is suitable for describing the dependency between point patterns over time, when the new point pattern arises from the previous point pattern. A hierarchical model is also implemented in order to incorporate the underlying evolution process of the model parameters. For parameter estimation, a double Metropolis-Hastings within Gibbs sampler is used. The performance of the estimation algorithm is evaluated through a simulation study. Finally, the point pattern forecasting procedure is demonstrated through a simulation study and an application to United States natural caused wildfire data from 2002 to 2019.",10.1016/j.csda.2021.107349,,,"Chen, Jiaxun; Micheas, Athanasios C.; Holan, Scott H.",Computational Statistics &amp; Data Analysis,2022-3,Chen et al. - 2022 - Hierarchical Bayesian modeling of spatio-temporal area-interaction processes.pdf,,crossref_doi
Long-term air pollution exposure and Parkinson’s disease mortality in a large pooled European cohort: An ELAPSE study,"Background
The link between exposure to ambient air pollution and mortality from cardiorespiratory diseases is well established, while evidence on neurodegenerative disorders including Parkinson�s Disease (PD) remains limited.
Objective
We examined the association between long-term exposure to ambient air pollution and PD mortality in seven European cohorts.
Methods
Within the project �Effects of Low-Level Air Pollution: A Study in Europe� (ELAPSE), we pooled data from seven cohorts among six European countries. Annual mean residential concentrations of fine particulate matter (PM2.5), nitrogen dioxide (NO2), black carbon (BC), and ozone (O3), as well as 8 PM2.5 components (copper, iron, potassium, nickel, sulphur, silicon, vanadium, zinc), for 2010 were estimated using Europe-wide hybrid land use regression models. PD mortality was defined as underlying cause of death being either PD, secondary Parkinsonism, or dementia in PD. We applied Cox proportional hazard models to investigate the associations between air pollution and PD mortality, adjusting for potential confounders.
Results
Of 271,720 cohort participants, 381 died from PD during 19.7 years of follow-up. In single-pollutant analyses, we observed positive associations between PD mortality and PM2.5 (hazard ratio per 5 �g/m3: 1.25; 95% confidence interval: 1.01�1.55), NO2 (1.13; 0.95�1.34 per 10 �g/m3), and BC (1.12; 0.94�1.34 per 0.5 � 10-5m-1), and a negative association with O3 (0.74; 0.58�0.94 per 10 �g/m3). Associations of PM2.5, NO2, and BC with PD mortality were linear without apparent lower thresholds. In two-pollutant models, associations with PM2.5 remained robust when adjusted for NO2 (1.24; 0.95�1.62) or BC (1.28; 0.96�1.71), whereas associations with NO2 or BC attenuated to null. O3 associations remained negative, but no longer statistically significant in models with PM2.5. We detected suggestive positive associations with the potassium component of PM2.5.
Conclusion
Long-term exposure to PM2.5, at levels well below current EU air pollution limit values, may contribute to PD mortality.",10.1016/j.envint.2022.107667,,,"Cole-Hunter, Thomas; Zhang, Jiawei; So, Rina; Samoli, Evangelia; Liu, Shuo; Chen, Jie; Strak, Maciej; Wolf, Kathrin; Weinmayr, Gudrun; Rodopolou, Sophia; Remfry, Elizabeth; de Hoogh, Kees; Bellander, Tom; Brandt, Jørgen; Concin, Hans; Zitt, Emanuel; Fecht, Daniela; Forastiere, Francesco; Gulliver, John; Hoffmann, Barbara; Hvidtfeldt, Ulla A.; Jöckel, Karl-Heinz; Mortensen, Laust H.; Ketzel, Matthias; Yacamán Méndez, Diego; Leander, Karin; Ljungman, Petter; Faure, Elodie; Lee, Pei-Chen; Elbaz, Alexis; Magnusson, Patrik K.E.; Nagel, Gabriele; Pershagen, Göran; Peters, Annette; Rizzuto, Debora; Vermeulen, Roel C.H.; Schramm, Sara; Stafoggia, Massimo; Katsouyanni, Klea; Brunekreef, Bert; Hoek, Gerard; Lim, Youn-Hee; Andersen, Zorana J.",Environment International,2023-1,Cole-Hunter et al. - 2023 - Long-term air pollution exposure and Parkinson’s disease mortality in a large pooled European cohort.pdf,,crossref_doi
Investigating Awareness of Pesticide Exposure as a Risk Factor for Parkinson’s Disease and Uptake of Exposure-Mitigating Behaviour in Farming Communities in Ireland,"Parkinson’s disease (PD) is an age-related neurological disorder with increasing incidence and modifiable risk factors. People exposed to pesticides have up to a 2-fold higher risk of developing PD. Use of personal protective equipment (PPE) when using pesticides can lower an individual’s exposure. We examined awareness of the relationship between pesticides and PD risk in individuals working/living on farms in Ireland. We also investigated the practice of behaviours aimed at mitigating exposure, such as using PPE. An online survey was completed by a sample of the farming community (n = 707) attending agricultural fairs, and included demographics, lifetime/current residence/work on farms, pesticide contact, PPE use, PD diagnosis, and awareness of pesticide–PD association. Among participants, 51% worked/lived on farms and 62% reported contact with pesticides. Only 69% of those with pesticide contact reported using PPE, with gloves (57%) and masks (50%) most commonly used. Only 22% were aware of an association between PD and pesticides, and awareness did not increase PPE use. Among people with PD, only 40% had knowledge of the risk. We found that in a highly agricultural economy, occupational exposure to pesticides is common, but mitigation behaviours are not optimal. Educational campaigns to improve awareness of health risks from pesticides and to encourage PPE use could lower the personal and healthcare burden of PD and other health outcomes.",10.3390/safety11020049,,,"Collins, Lucy; O’Reilly, Éilis; Osayande, Joan; Wilson, Fionnuala; Morisho, Jolie; Bevans, Rebekah; Roberts, Rachel; Riedewald, Bereniece; Collins, Louise; O’Keeffe, Gerard; Sullivan, Aideen",Safety,23-05-25,Collins et al. - 2025 - Investigating Awareness of Pesticide Exposure as a Risk Factor for Parkinson’s Disease and Uptake of.pdf,,crossref_doi
Pesticide Exposure and Parkinson's Disease: A Qualitative Study of Experiences in Ireland,"ABSTRACT Introduction Parkinson's disease (PD) is a common neurodegenerative disorder, affecting an estimated 10 million people globally, and its incidence rate is rising rapidly. PD most commonly develops sporadically, with only 5%–10% of cases linked to genetic causes. Environmental factors, including exposure to pesticides, have been associated with a higher risk of PD. Multiple studies have shown an increased incidence of PD in geographical regions which have high levels of pesticide use. However, there is little data on links between pesticide exposure and PD in Ireland, and the experiences of Irish people with PD in relation to pesticides remain underexplored. Aim To conduct a qualitative study to explore the experiences and perceptions of individuals in Ireland regarding the potential links between occupational and environmental pesticide exposure and PD. Methods This qualitative study investigated the experiences of individuals with PD and their families in Ireland, regarding pesticide exposure. Semi‐structured interviews were conducted with 21 participants, including people with Parkinson's (PwP) and their close relatives. Purposive sampling was used to recruit participants from farming and rural communities. The semi‐structured interviews lasted 10–15 min, and data were transcribed and analysed using thematic analysis. The research adhered to ethical guidelines, including informed consent and confidentiality. Results Three main themes were identiifed from the analysis: ‘Occupation‐Related Pesticide Exposure and PD Risk’, ‘Dangers of Pesticides, and Barriers to Personal Protective Equipment (PPE) Usage’, and ‘Family and Community Influence/Mixed Messaging about Pesticide Safety’. Participants frequently reported significant pesticide exposure due to occupational activities or living in agricultural areas. Many people highlighted inadequate use of PPE and described how exposure was often unregulated or unavoidable. Family and community contexts further compounded exposure risks. Conclusion This study highlights the need for heightened awareness and education regarding risks associated with pesticide exposure. It reveals gaps in the application of protective measures and highlights a need for improved regulation of safety protocols. Patient or Public Contribution The design and conduct of this study were supported by people with Parkinson's disease and their family members, as well as members of the public who have experience with pesticide use. In advance of the study, members of the Cork branch of Parkinson's Ireland reviewed the research question, methodology and interview schedules, and provided feedback on these, which was incorporated into the study.",10.1111/hex.70329,,,"Collins, Lucy M.; Moore, Sarah; O'Shea, Emma; White, Aidan; Sullivan, Aideen M.",Health Expectations,2025-10,Collins et al. - 2025 - Pesticide Exposure and Parkinson's Disease A Qualitative Study of Experiences in Ireland.pdf,,crossref_doi
Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD),"Background— Prediction models are developed to aid health care providers in estimating the probability or risk that a specific disease or condition is present (diagnostic models) or that a specific event will occur in the future (prognostic models), to inform their decision making. However, the overwhelming evidence shows that the quality of reporting of prediction model studies is poor. Only with full and clear reporting of information on all aspects of a prediction model can risk of bias and potential usefulness of prediction models be adequately assessed. Methods— The Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) Initiative developed a set of recommendations for the reporting of studies developing, validating, or updating a prediction model, whether for diagnostic or prognostic purposes. This article describes how the TRIPOD Statement was developed. An extensive list of items based on a review of the literature was created, which was reduced after a Web-based survey and revised during a 3-day meeting in June 2011 with methodologists, health care professionals, and journal editors. The list was refined during several meetings of the steering group and in e-mail discussions with the wider group of TRIPOD contributors. Results— The resulting TRIPOD Statement is a checklist of 22 items, deemed essential for transparent reporting of a prediction model study. The TRIPOD Statement aims to improve the transparency of the reporting of a prediction model study regardless of the study methods used. The TRIPOD Statement is best used in conjunction with the TRIPOD explanation and elaboration document. Conclusions— To aid the editorial process and readers of prediction model studies, it is recommended that authors include a completed checklist in their submission (also available at www.tripod-statement.org ).",10.1161/circulationaha.114.014508,,,"Collins, Gary S.; Reitsma, Johannes B.; Altman, Douglas G.; Moons, Karel G.M.",Circulation,13-01-15,Collins et al. - Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRI.pdf,,crossref_doi
3583 PINK1 parkinson’s disease in New Zealand,"Objective:
To document the demographic and clinical features in a cohort of PINK1 Parkinson�s patients living in New Zealand.
Background:
PINK1 Parkinson�s disease has been described in Polynesian populations, however, the clinical phenotype of this condition has not been well elucidated.
Design/Methods:
We performed a retrospective chart review of demographic and clinical factors including age of onset of symptoms, years since onset, levodopa daily dose at time of assessment, and additional Parkinson�s disease medications.
Results:
Amongst 27 patients with genetically confirmed PINK1 Parkinson�s disease, 10 were female, the median age was 56 (range 30�70), the median age of onset was 35 (range 12�54) and the median body mass index was 31.4 (range 27 to 39). In terms of ethnicity, 15 were Samoan, 8 Tongan, 3 Tokelauan and 1 was Filipino. At the time of latest assessment, a median of 17 years (range 2 to 40) had elapsed since onset of symptoms. At this time, medication information was available on 25 of the 27 patients. 23 were on levodopa (11 monotherapy, 12 in combination with other treatments). The most common other treatments were apomorphine (n=7) and amantadine (n=5). The median levodopa daily dose (at median of 17 years since onset) was 600mg (interquartile range 350mg to 1000mg).
Conclusions:
The cohort of PINK1 patients in New Zealand are of almost exclusive western Polynesian ethnicity. The onset of symptoms was largely before age 50 and the patients remained on relatively low daily levodopa doses 17 years after first symptoms. This may indicate a prolonged treatment responsiveness of PINK1 Parkinson�s disease.",10.1136/bmjno-2025-anzan.130,,,"Donnelly, Joseph; Buchanan, Christina M; Patel, Shilpan G; Vailahi, Garcia; Viali, Satupaitea; Dayal, Viswas; Roxburgh, Richard H",Poster Abstracts,2025-10,Donnelly et al. - 2025 - PINK1 Parkinson’s Disease in New Zealand An Overview (P3-5.019).pdf,,crossref_doi
